0-BDX,zhijiejiahe-BDX,julijiahe-BDX,IHGS-BDX
-1.016823946,-23922.80112,-12990.9326,0.115001179
-8.106381296,-34080.98884,-20085.18008,0.059923505
-11.28063006,-36595.80566,-22101.96905,0.065873581
-13.46688601,-45303.10755,-26344.02099,0.05735897
-16.1964083,-51986.49708,-29375.68447,0.033938764
-15.25970698,-45683.38074,-25869.11994,0.042002825
-12.1880235,-36327.56493,-20803.77379,0.061949354
-0.535798801,-40925.51478,-22539.21687,0.053873471
1.970315351,-52853.96228,-27807.85105,0.05746692
1.775901738,-50478.54234,-26452.56613,0.113119624
-6.046283077,-35635.12044,-19532.47048,0.153433914
-7.947542419,-30607.0195,-17334.69993,0.111592514
-8.855090483,-34796.27786,-19397.65529,0.059487327
-8.48180458,-24124.15455,-14395.91297,0.097070138
-7.618323104,2222.168949,-1628.199636,0.185399898
-5.977489218,16708.7816,6115.46607,0.22750645
-0.980769885,11175.0629,4442.149042,0.231833911
0.280016409,10702.88722,4781.190177,0.259802372
0.383441032,31587.14431,15085.36472,0.29036939
-2.367953962,54489.77902,26133.02031,0.267789226
-3.306791094,49338.60737,23076.23879,0.21627554
-4.130486603,13851.20574,5054.064938,0.19219877
-7.772978394,-19973.88562,-11354.59324,0.185702231
-6.166330588,-19071.85551,-9450.77633,0.168124269
-2.244436882,14200.84018,9130.368702,0.170307029
9.462782203,48486.21483,28180.12315,0.222508571
13.91246598,62463.05459,36559.38489,0.280445319
16.57473971,59705.44839,35413.91627,0.291506436
17.94938138,48267.89105,28404.26877,0.271379667
16.6621181,29600.51324,16844.76041,0.249805611
13.21277423,9830.605313,5057.258166,0.21606537
1.190580029,1109.817386,-31.29612127,0.180722204
-1.774470427,6493.011419,2976.611853,0.201817839
-2.093100875,15731.78864,8190.871812,0.276981228
6.503000033,17528.6903,9130.897685,0.301612325
6.776610573,7921.23936,3294.399813,0.216429312
4.996086763,-11125.71879,-8210.042722,0.10786208
-2.684267631,-33256.74066,-21327.90918,0.07548368
-5.687905196,-49393.98701,-30488.18712,0.088829958
-7.86047978,-54421.8357,-32878.06694,0.071660356
-8.666884034,-51818.17756,-30951.0835,0.042147665
-9.577546264,-48192.3917,-28877.86014,0.058192201
-10.05731992,-45543.71736,-27837.03291,0.093001259
-11.58141017,-42932.7278,-26844.12005,0.082597434
-10.09167089,-42982.83191,-26567.68926,0.049000605
-7.063272064,-49992.66284,-28902.08389,0.063696387
0.822213015,-60664.53494,-32591.49415,0.120078851
4.440634101,-62627.42816,-32346.22267,0.146172206
7.110448322,-46502.57555,-24130.69836,0.126428463
8.509139042,-17436.1524,-10119.69453,0.118001277
9.525313713,8815.675532,3028.889762,0.152681618
9.836480693,20775.91146,10299.79974,0.201933079
8.567566787,19900.00082,11762.34435,0.238414257
8.126842162,14830.3386,10393.28089,0.263862635
7.639252648,10237.59079,7897.474013,0.272056488
8.539381645,4233.192018,3841.722409,0.244422587
