0-QSX,2-QSX,53-QSX,54-QSX,70-QSX,72-QSX
191.7757564,25365.72894,152186.4929,3891.144423,25375.09109,10576.92452
191.967014,25301.10725,152284.3086,3904.051799,25351.15744,10623.86638
192.1523434,25236.51973,152362.339,3916.909306,25324.06952,10663.35053
192.3322005,25172.00394,152419.9593,3929.695876,25293.86233,10693.89847
192.5070489,25107.59607,152456.6045,3942.39076,25260.57591,10714.19993
192.6773589,25043.33098,152471.7701,3954.973561,25224.25536,10723.1269
192.843606,24979.24216,152465.0126,3967.424283,25184.95063,10719.74506
193.0062705,24915.36176,152435.9491,3979.723368,25142.71652,10703.32272
193.1658352,24851.72053,152384.2572,3991.851734,25097.61247,10673.33708
193.3227852,24788.3479,152309.6745,4003.790811,25049.70251,10629.47773
193.4776061,24725.27192,152211.997,4015.522578,24999.05505,10571.6475
193.6307831,24662.51931,152091.0786,4027.029594,24945.74284,10499.96058
193.7827994,24600.11541,151946.8289,4038.295036,24889.8427,10414.73796
193.9341356,24538.08427,151779.2114,4049.302725,24831.43546,10316.50038
194.0852679,24476.4486,151588.2416,4060.037155,24770.60574,10205.9588
194.2366671,24415.22978,151373.9846,4070.483523,24707.44181,10084.00256
194.3887975,24354.44792,151136.5526,4080.627753,24642.03538,9951.685424
194.5421157,24294.12184,150876.102,4090.45652,24574.48145,9810.209761
194.6970693,24234.2691,150592.8306,4099.95727,24504.87809,9660.908915
194.8540959,24174.90603,150286.9748,4109.118245,24433.32627,9505.228185
195.0136218,24116.04771,149958.8061,4117.928493,24359.92964,9344.704561
195.1760612,24057.70805,149608.6283,4126.377891,24284.79432,9180.94552
195.3418146,23999.89978,149236.7742,4134.457157,24208.02874,9015.607153
195.5112683,23942.63446,148843.6021,4142.157857,24129.74334,8850.3719
195.6847932,23885.92257,148429.4927,4149.472425,24050.05046,8686.926187
195.8627435,23829.77345,147994.8461,4156.394159,23969.06403,8526.938232
196.0454561,23774.1954,147540.0782,4162.917237,23886.8994,8372.036315
196.2332496,23719.19568,147065.6179,4169.036716,23803.67312,8223.787765
196.4264234,23664.78056,146571.9042,4174.748532,23719.50269,8083.678932
196.6252569,23610.95531,146059.383,4180.049504,23634.50634,7953.096382
196.8300084,23557.7243,145528.5045,4184.937331,23548.80284,7833.309533
197.0409149,23505.09095,144979.7211,4189.410585,23462.51124,7725.454955
197.258191,23453.05786,144413.4844,4193.468707,23375.75064,7630.522481
197.4820283,23401.62676,143830.2433,4197.112,23288.64002,7549.343328
197.712595,23350.79861,143230.4423,4200.341616,23201.29795,7482.580313
197.9500349,23300.57359,142614.5194,4203.159547,23113.84243,7430.720305
198.1944675,23250.95118,141982.9048,4205.568612,23026.39065,7394.068948
198.4459871,23201.93014,141336.0199,4207.572438,22939.05875,7372.747726
198.7046626,23153.50863,140674.276,4209.175447,22851.96167,7366.693371
198.9705372,23105.68417,139998.074,4210.382835,22765.21288,7375.659586
199.2436278,23058.45372,139307.8036,4211.200554,22678.92422,7399.221056
199.5239255,23011.81372,138603.8435,4211.635287,22593.20571,7436.779656
199.8113945,22965.7601,137886.5613,4211.694428,22508.16529,7487.572758
200.1059727,22920.28835,137156.3142,4211.386058,22423.90872,7550.683513
200.4075716,22875.39356,136413.4493,4210.718914,22340.53935,7625.052947
200.7160758,22831.07042,135658.3048,4209.70237,22258.15793,7709.493705
201.0313439,22787.3133,134891.2111,4208.346401,22176.86249,7802.705251
201.3532077,22744.11627,134112.4922,4206.661559,22096.74814,7903.290312
201.6814733,22701.47315,133322.4673,4204.65894,22017.90691,8009.772341
202.0159207,22659.37753,132521.4528,4202.350154,21940.42765,8120.613778
202.3563045,22617.8228,131709.764,4199.747293,21864.39583,8234.234856
202.7023541,22576.80224,130887.7177,4196.862897,21789.89344,8349.032726
203.0537742,22536.30898,130055.6343,4193.709921,21716.99887,8463.400631
203.4102453,22496.3361,129213.8403,4190.301704,21645.78677,8575.746914
203.7714241,22456.87663,128362.6711,4186.651928,21576.32796,8684.51361
204.1369445,22417.92358,127502.4734,4182.774591,21508.68933,8788.194392
204.5064177,22379.47,126633.6081,4178.683964,21442.93376,8885.35166
204.8794333,22341.509,125756.453,4174.394561,21379.12,8974.632575
205.25556,22304.03375,124871.4057,4169.921101,21317.30265,9054.783839
205.6343464,22267.03758,123978.8863,4165.278474,21257.53206,9124.665066
206.0153216,22230.51393,123079.34,4160.481701,21199.8543,9183.260594
206.3979967,22194.45643,122173.24,4155.545905,21144.31109,9229.689612
206.7818651,22158.85892,121261.0899,4150.486269,21090.93981,9263.214504
207.1664038,22123.71546,120343.4261,4145.318008,21039.77342,9283.247336
207.5510745,22089.02034,119420.8203,4140.056325,20990.84049,9289.354435
207.9353243,22054.76816,118493.8811,4134.716387,20944.16518,9281.259032
208.3185875,22020.95379,117563.2567,4129.313283,20899.76723,9258.84198
208.700286,21987.57244,116629.6358,4123.861996,20857.66201,9222.140559
209.0798307,21954.61963,115693.7497,4118.377366,20817.86049,9171.34544
209.456623,21922.09124,114756.373,4112.874063,20780.36932,9106.795852
209.8300556,21889.98354,113818.3249,4107.366553,20745.19085,9028.97309
210.1995141,21858.29315,112880.4694,4101.869066,20712.32317,8938.492436
210.5643777,21827.01711,111943.716,4096.395573,20681.76021,8836.093665
